,id,creatorID,header_text,comment_count,upvotes,downvotes,imgSrc,checksum
25,jsid-post-avQoxRO,derentspannte,The climate is silent for now.,412,4.7K,461,https://img-9gag-fun.9cache.com/photo/avQoxRO_460s.jpg,d67795658a7c0008f8d796ae1fedddfac8744a6c12fc0c49c57a86ee209a6b70
26,jsid-post-adP54b2,sittepit,Climate change denier gets destroyed and is exposed for misleading people (not mine),222,1.1K,285,https://img-9gag-fun.9cache.com/photo/adP54b2_460s.jpg,3bb255b330a5979beae34bc5cb5ecab1f2152597e1f85a6385bee848130261a8
27,jsid-post-aA03M12,getchickened,The circus keeps going,211,3.5K,215,https://img-9gag-fun.9cache.com/photo/aA03M12_460s.jpg,efe4e014fe8fabac8d456d79a29be136c4e2cd250c96c45fb71afcc572076a5d
28,jsid-post-a8q3ALe,tomesiscool,"Yes, for the planet of course...",161,3.4K,181,https://img-9gag-fun.9cache.com/photo/a8q3ALe_460s.jpg,a4438af76ab38f25ad9c45459afd376646e76ba63d74a43a4f5b5afcf11d737b
29,jsid-post-avQoxRO,derentspannte,The climate is silent for now.,412,4.7K,461,https://img-9gag-fun.9cache.com/photo/avQoxRO_460s.jpg,d67795658a7c0008f8d796ae1fedddfac8744a6c12fc0c49c57a86ee209a6b70
30,jsid-post-armVbY0,freeyourselves,Greta Turnlight,7,101,135,https://img-9gag-fun.9cache.com/photo/armVbY0_460s.jpg,b4e31b2a376ab061855c9b08825a57d42aae094a31e5538308a696e88b24ebc5
31,jsid-post-abvG60b,vlad7sokruta,Oh how the kindergartener has failed to embrace ‘future’,18,89,83,https://img-9gag-fun.9cache.com/photo/abvG60b_460s.jpg,4ed6fe862ca0527c8db78b86fc5e104ef97d122393bb63d22bcc4897e3881d8b
32,jsid-post-a9qnWRo,angelcaine,Remember,586,1.5K,724,https://img-9gag-fun.9cache.com/photo/a9qnWRo_460s.jpg,e38915c367a181089f8a7434a6acb64f21eafcf466e17c5b8b1f48c1fa45f618
33,jsid-post-armVbY0,freeyourselves,Greta Turnlight,7,101,135,https://img-9gag-fun.9cache.com/photo/armVbY0_460s.jpg,b4e31b2a376ab061855c9b08825a57d42aae094a31e5538308a696e88b24ebc5
34,jsid-post-abvG60b,vlad7sokruta,Oh how the kindergartener has failed to embrace ‘future’,18,89,83,https://img-9gag-fun.9cache.com/photo/abvG60b_460s.jpg,4ed6fe862ca0527c8db78b86fc5e104ef97d122393bb63d22bcc4897e3881d8b
35,jsid-post-a9qnWRo,angelcaine,Remember,586,1.5K,724,https://img-9gag-fun.9cache.com/photo/a9qnWRo_460s.jpg,e38915c367a181089f8a7434a6acb64f21eafcf466e17c5b8b1f48c1fa45f618
36,jsid-post-a1PR8K8,uplink_3_14,Change my mind,446,3.1K,431,https://img-9gag-fun.9cache.com/photo/a1PR8K8_460s.jpg,ca22a31b35a4b739c6e45249f2f117f968715c36ca8cb3a71556b85b7a3ac5d4
37,jsid-post-amAvz8d,abunbubu,"""he/she can change""",152,2.2K,140,https://img-9gag-fun.9cache.com/photo/amAvz8d_460s.jpg,2118e31c7e3e4e7129a32c15a0a371a3dc1bfab5e8f57c36f3143c4238ad0848
38,jsid-post-aqegB1L,faraechilibru,What I think of at work.,14,131,69,https://img-9gag-fun.9cache.com/photo/aqegB1L_460s.jpg,2e186743f98a4c35d5f6f7058cd68fed6fb254fe864fcbbf797c37f72a37446f
39,jsid-post-a4oRW4w,ohellno666,You dont give a f0ck about the enviroment you just want power,41,148,255,https://img-9gag-fun.9cache.com/photo/a4oRW4w_460s.jpg,bb05f3e04234d68729f81cff9e36d88fc9ae29c2fd93b81a8eadb551e40e392a
40,jsid-post-aQEdEVz,milkmandan88,It's bigotry²,11,54,49,https://img-9gag-fun.9cache.com/photo/aQEdEVz_460s.jpg,e135e825e1a153e4a8ffd275d0289e5e568310b5fe6220d3a3ade8c42fa2d65a
41,jsid-post-a1PR8K8,uplink_3_14,Change my mind,446,3.1K,431,https://img-9gag-fun.9cache.com/photo/a1PR8K8_460s.jpg,ca22a31b35a4b739c6e45249f2f117f968715c36ca8cb3a71556b85b7a3ac5d4
42,jsid-post-amAvz8d,abunbubu,"""he/she can change""",152,2.2K,140,https://img-9gag-fun.9cache.com/photo/amAvz8d_460s.jpg,2118e31c7e3e4e7129a32c15a0a371a3dc1bfab5e8f57c36f3143c4238ad0848
43,jsid-post-aqegB1L,faraechilibru,What I think of at work.,14,131,69,https://img-9gag-fun.9cache.com/photo/aqegB1L_460s.jpg,2e186743f98a4c35d5f6f7058cd68fed6fb254fe864fcbbf797c37f72a37446f
44,jsid-post-a4oRW4w,ohellno666,You dont give a f0ck about the enviroment you just want power,41,148,255,https://img-9gag-fun.9cache.com/photo/a4oRW4w_460s.jpg,bb05f3e04234d68729f81cff9e36d88fc9ae29c2fd93b81a8eadb551e40e392a
45,jsid-post-aQEdEVz,milkmandan88,It's bigotry²,11,54,49,https://img-9gag-fun.9cache.com/photo/aQEdEVz_460s.jpg,e135e825e1a153e4a8ffd275d0289e5e568310b5fe6220d3a3ade8c42fa2d65a
46,jsid-post-ap95M0M,gnalluidj,Change my mind,132,2K,143,https://img-9gag-fun.9cache.com/photo/ap95M0M_460s.jpg,de124fd589b9bd70ffd8aa5bec16f3e467e16df80a140a904b7c2e9c30c3b1fa
47,jsid-post-aNw1QEw,palepenisperson,Climate Change is Bad,73,459,141,https://img-9gag-fun.9cache.com/photo/aNw1QEw_460s.jpg,4442a64ab05d9bc61e2de69e9b1966fe13b54bfc995c53ed47cb1ca700f43e3e
48,jsid-post-ay2oVeM,9GAGGER,"Don’t do plastic, kids",644,9.2K,685,https://img-9gag-fun.9cache.com/photo/ay2oVeM_460s.jpg,93c159f4b293829520b04172bd0e596e49928327f5e3496ed1c0f8639f81882f
49,jsid-post-ap95zrW,twoface555,Change my mind,197,1.6K,435,https://img-9gag-fun.9cache.com/photo/ap95zrW_460s.jpg,5ce31840768768880b57600fb73a39b498ebafc1d2963b8b477dcbce5b500a68
50,jsid-post-ap95M0M,gnalluidj,Change my mind,132,2K,143,https://img-9gag-fun.9cache.com/photo/ap95M0M_460s.jpg,de124fd589b9bd70ffd8aa5bec16f3e467e16df80a140a904b7c2e9c30c3b1fa
51,jsid-post-aNw1QEw,palepenisperson,Climate Change is Bad,73,459,141,https://img-9gag-fun.9cache.com/photo/aNw1QEw_460s.jpg,4442a64ab05d9bc61e2de69e9b1966fe13b54bfc995c53ed47cb1ca700f43e3e
52,jsid-post-ay2oVeM,9GAGGER,"Don’t do plastic, kids",644,9.2K,685,https://img-9gag-fun.9cache.com/photo/ay2oVeM_460s.jpg,93c159f4b293829520b04172bd0e596e49928327f5e3496ed1c0f8639f81882f
53,jsid-post-ap95zrW,twoface555,Change my mind,197,1.6K,435,https://img-9gag-fun.9cache.com/photo/ap95zrW_460s.jpg,5ce31840768768880b57600fb73a39b498ebafc1d2963b8b477dcbce5b500a68
54,jsid-post-a8qG143,schnurstrax95,Its just a little silly,413,5.7K,362,https://img-9gag-fun.9cache.com/photo/a8qG143_460s.jpg,5e3e156603bd44c23f9ae59b182ff711b20f97161d7ae80665535452cb573cc3
55,jsid-post-avQ8Rrn,grillerman77,Lying MFs,83,273,61,https://img-9gag-fun.9cache.com/photo/avQ8Rrn_460s.jpg,fb5b01cb0b92a27458fc02ebe6dbd6e0e5836cc85de680e89250a6d8bf4adaa6
56,jsid-post-aYVY2Gq,greenmartin2812,Easy with O2,14,228,73,https://img-9gag-fun.9cache.com/photo/aYVY2Gq_460s.jpg,076a40b5202fbcb7ff81baba4fa8d93b916ce4cdf6e4ff4dd9be0e4258cf5556
57,jsid-post-a9qR5P1,bert_mcfc,Poor leftwing creatures are in denial,22,77,119,https://img-9gag-fun.9cache.com/photo/a9qR5P1_460s.jpg,e698e9838988733c5293357b1a6aa2ccf0ea8c7f2da3a2110aa4fca29cf72045
58,jsid-post-aGEgbGn,danny__tanner,"I've never taken prescription pills, but I'm starting to realize at my age I need a lifestyle change. Lol",244,3.4K,274,https://img-9gag-fun.9cache.com/photo/aGEgbGn_460s.jpg,991cb603989a86f6a18c36657a87595315c13d51b395e63d0e4cee990c63ca0b
59,jsid-post-a8qG143,schnurstrax95,Its just a little silly,413,5.7K,362,https://img-9gag-fun.9cache.com/photo/a8qG143_460s.jpg,5e3e156603bd44c23f9ae59b182ff711b20f97161d7ae80665535452cb573cc3
60,jsid-post-avQ8Rrn,grillerman77,Lying MFs,83,273,61,https://img-9gag-fun.9cache.com/photo/avQ8Rrn_460s.jpg,fb5b01cb0b92a27458fc02ebe6dbd6e0e5836cc85de680e89250a6d8bf4adaa6
61,jsid-post-aYVY2Gq,greenmartin2812,Easy with O2,14,228,73,https://img-9gag-fun.9cache.com/photo/aYVY2Gq_460s.jpg,076a40b5202fbcb7ff81baba4fa8d93b916ce4cdf6e4ff4dd9be0e4258cf5556
62,jsid-post-a9qR5P1,bert_mcfc,Poor leftwing creatures are in denial,22,77,119,https://img-9gag-fun.9cache.com/photo/a9qR5P1_460s.jpg,e698e9838988733c5293357b1a6aa2ccf0ea8c7f2da3a2110aa4fca29cf72045
63,jsid-post-aGEgbGn,danny__tanner,"I've never taken prescription pills, but I'm starting to realize at my age I need a lifestyle change. Lol",244,3.4K,274,https://img-9gag-fun.9cache.com/photo/aGEgbGn_460s.jpg,991cb603989a86f6a18c36657a87595315c13d51b395e63d0e4cee990c63ca0b
64,jsid-post-a04QdqX,lukilusgreenlev,That’s a bummer,434,1.5K,686,https://img-9gag-fun.9cache.com/photo/a04QdqX_460s.jpg,46e40146d9206903bf7b2d0f1cbca0de1a310ad2251d5d07db1b8c6a1da0c6eb
65,jsid-post-aQEdXmz,slicknick420666,Times change,11,226,29,https://img-9gag-fun.9cache.com/photo/aQEdXmz_460s.jpg,6f98396e177dd91b2fa4db6f7df9af042a8ef1d87b59655cf60c725a6a9bd1bd
66,jsid-post-a04QdqX,lukilusgreenlev,That’s a bummer,434,1.5K,686,https://img-9gag-fun.9cache.com/photo/a04QdqX_460s.jpg,46e40146d9206903bf7b2d0f1cbca0de1a310ad2251d5d07db1b8c6a1da0c6eb
67,jsid-post-aQEdXmz,slicknick420666,Times change,11,226,29,https://img-9gag-fun.9cache.com/photo/aQEdXmz_460s.jpg,6f98396e177dd91b2fa4db6f7df9af042a8ef1d87b59655cf60c725a6a9bd1bd
68,jsid-post-aMEYxnP,chalabi,Greta's awesome comeback to this douchebag . (Andrew's comment remind me of those who brag about killing animals for anti-hunting activists),63,97,173,https://img-9gag-fun.9cache.com/photo/aMEYxnP_460s.jpg,011fde4705a91674624834937691eba0ca520e9aa090265681b9214c71ed63d0
69,jsid-post-avQom2X,null8fuenfzehn,Can't find shit,189,6.3K,104,https://img-9gag-fun.9cache.com/photo/avQom2X_460s.jpg,338a78cfd74c4f5db82ebc60630a186de9c4bdea6e15f861efa23c5320875ad5
